Feature Set,Num Features,RMSE,R2,ΔRMSE,ΔR2,p_value,Significantly_Worse
No Engineered Features (lags only),5,1.8194204837884551,0.9749032204737369,0.0839113146161119,-0.0022615353047680253,4.180031105915916e-06,True
No Variability Features,7,1.8277847594402405,0.9746719392502206,0.09227559026789733,-0.0024928165282843695,2.171209665391416e-07,True
No Rolling Statistics,9,1.8407756783051605,0.9743106230915872,0.10526650913281732,-0.0028541326869176986,1.623385292859325e-08,True
All Features,11,1.8466896994735176,0.9741452889055138,0.11118053030117436,-0.00301946687299115,6.270459707025111e-09,True
"Only Recent Lags (t-1, t-2)",2,2.034230360296967,0.9686272853652024,0.2987211911246237,-0.00853747041330255,0.0,True
Only HR_t-1,1,2.2034114738174337,0.9631919297692141,0.4679023046450905,-0.01397282600929084,0.0,True
No Lag Features (engineered only),6,2.809003764443759,0.9401786130137089,1.0734945952714159,-0.03698614276479606,0.0,True
"Only Simple Features (mean, std)",2,3.3049656650232992,0.9171894365363426,1.569456495850956,-0.05997531924216237,0.0,True
