mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.4870402018229165,1.0067394880909717,0.7991387844085693,0.37608545674988314,200,2,2,sqrt,15,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15}",-12.102472160234608,-2.0398615152465087,-21.081055774959484,-11.741129816813533,7.777732999869708,17
4.651490370432536,2.254081708150936,1.2438112894694011,0.05712613257878062,200,2,1,,5,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 5}",-10.153814872557582,-2.187772808365013,-22.164699400125855,-11.502095693682817,8.211081735175984,15
14.427481810251871,8.055822624489053,1.654621998469035,0.3890300572169283,200,5,2,,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-8.725828026350712,-2.20497109107495,-21.124029187304117,-10.68494276824326,7.846922443057921,10
12.16018001238505,3.2011846582928896,1.480629841486613,0.11136451919788193,300,2,2,,5,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 5}",-10.00571339337437,-2.191494150367618,-22.2623450069217,-11.486517516887895,8.260522548671702,14
7.586990753809611,2.208930688942646,0.963769276936849,0.34234667983427236,200,2,1,log2,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",-11.973115150527423,-2.0649730033102327,-19.975987628437547,-11.3380252607584,7.325918172326991,11
7.298972050348918,2.9041952213241493,1.136367400487264,0.46574648849320194,200,5,1,,5,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 5}",-10.153814872557618,-2.187772808365016,-22.164699400125848,-11.502095693682827,8.211081735175977,16
16.59213876724243,9.129596027253733,2.3217763106028237,0.35002967584112005,200,10,1,,15,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 15}",-8.797305909883454,-2.1672006387828815,-20.10209408067015,-10.355533543112161,7.404330071459578,3
26.808738946914673,10.667902603042386,1.4583497842152913,0.3439541931307208,300,10,2,,20,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",-8.747211163421936,-2.1671907729643367,-20.907378930666034,-10.607260289017436,7.762881771985503,8
11.78234593073527,3.5171085168392793,1.8339006106058757,0.43808988044560376,300,5,2,sqrt,20,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-12.03695043339604,-2.018813310364939,-21.6158995996734,-11.89055444781146,8.001146650995173,19
12.616649230321249,3.0167052953841664,1.3114382425944011,0.11343238804493447,500,10,2,log2,20,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",-12.263574258195574,-1.9795968118704328,-22.56615874349493,-12.269776604520311,8.404429859424441,23
4.3649524847666425,0.8989433019130909,0.9723808765411377,0.2768382217221034,300,5,1,sqrt,5,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5}",-15.185782108561163,-2.5432984558119345,-28.421192536207677,-15.38342436686026,10.565530349703051,28
4.12952454884847,1.1077293962051784,1.0487509568532307,0.3264779062950271,200,10,1,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",-12.099257789037274,-1.9947053603858527,-21.74888427783661,-11.947615809086578,8.065322586779631,20
21.75025471051534,10.775081842192455,1.5066511631011963,0.1399732357091226,300,2,2,,20,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",-8.519515327380303,-2.198705018762502,-20.977937069040987,-10.565385805061263,7.801883473800266,7
18.521300554275513,6.762141932919334,1.3549254735310872,0.29164695882808445,500,2,1,,5,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 5}",-10.073957012028849,-2.188671132297841,-22.175403099880082,-11.479343748068922,8.219841750073275,12
4.1023415724436445,1.2199361620527827,1.268652121225993,0.3604097881385168,100,10,2,log2,15,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15}",-12.12455106910653,-2.0007515612957634,-22.403474877831293,-12.176259169411196,8.329457164325635,22
28.948323965072632,11.639955668846387,1.0286728541056316,0.09197727620573531,500,2,2,,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10}",-8.48906928923613,-2.074841253917166,-20.80936954683,-10.457760029994432,7.773992754222181,5
8.635665893554688,3.0515937031565987,1.2394940853118896,0.21226651180557704,300,2,4,log2,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}",-12.41052075686151,-1.9809658657864015,-23.17104258416764,-12.520843068938518,8.651164318253244,25
8.044758399327597,3.306500537091134,1.0771649678548176,0.4122150537305478,200,5,4,,5,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 5}",-10.089851671372156,-2.1895095770544404,-22.165804797790937,-11.481722015405845,8.214461636952855,13
21.057815074920654,8.273488784417172,1.2513541380564372,0.240262416011671,300,10,2,,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-8.747497616806804,-2.167002086514101,-20.90759517959253,-10.607364960971145,7.763022919520523,9
8.218321323394775,1.6802673550060232,1.2166086832682292,0.2334738882445697,500,5,2,log2,5,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5}",-15.375784795227023,-2.5568901921146843,-28.614217291330895,-15.515630759557533,10.638318838337554,30
5.917880296707153,2.6784493167327073,1.0916823546091716,0.1298122764704951,200,2,2,log2,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",-12.036668989772796,-2.055184087695688,-21.363183643969702,-11.818345573812728,7.883969412748747,18
13.110017855962118,4.057488113314267,1.2070648670196533,0.226988565729929,200,5,1,,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10}",-8.759348014934806,-2.0713568004118215,-20.311466663086815,-10.38072382614448,7.534235045952808,4
20.133185148239136,8.643963386776344,1.5210618178049724,0.1923530007372341,300,10,1,,15,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 15}",-8.686135024008944,-2.159986245938852,-19.892394050539068,-10.24617177349562,7.322788978341216,2
10.990330219268799,3.259301202643739,1.3436071077982585,0.20281667149032787,500,10,2,log2,10,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",-12.464815918206515,-1.9862421496979001,-22.83291419581355,-12.427990754572656,8.510658059910622,24
12.972407023111979,4.003349242324728,1.1431694030761719,0.1638078344871202,500,10,1,log2,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",-12.175832180515242,-1.9829901779595585,-21.805441454623846,-11.988087937699548,8.093570682109977,21
