loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.8440511226654053,0.4796146750450134,0.4594891369342804,0.61060631275177,0.4212915599346161,0.28869032859802246,0.0010000000474974513
0.43180590867996216,0.31142744421958923,0.16349300742149353,0.3883957862854004,0.30959731340408325,0.1661914438009262,0.0010000000474974513
0.32257241010665894,0.281912237405777,0.13389952480793,0.31762099266052246,0.3062651455402374,0.15805013477802277,0.0010000000474974513
0.25731468200683594,0.26620155572891235,0.11948638409376144,0.2584167718887329,0.28476542234420776,0.1399054080247879,0.0010000000474974513
0.21638761460781097,0.2579691708087921,0.11270993947982788,0.25061044096946716,0.3040408492088318,0.16017955541610718,0.0010000000474974513
0.186509370803833,0.25094935297966003,0.10618797689676285,0.22109149396419525,0.29744961857795715,0.14982843399047852,0.0010000000474974513
0.16708077490329742,0.24528808891773224,0.10291487723588943,0.19770750403404236,0.2884873151779175,0.13978265225887299,0.0010000000474974513
0.15265189111232758,0.24114470183849335,0.09934881329536438,0.1825784593820572,0.280570387840271,0.13419735431671143,0.0010000000474974513
0.1392485350370407,0.23602187633514404,0.09441597014665604,0.17559196054935455,0.27881911396980286,0.13409759104251862,0.0010000000474974513
0.13028177618980408,0.2322940230369568,0.09134864807128906,0.18183843791484833,0.29936403036117554,0.1451237052679062,0.0010000000474974513
0.12239190936088562,0.22711195051670074,0.08753922581672668,0.15797245502471924,0.2721411883831024,0.12467111647129059,0.0010000000474974513
0.11742589622735977,0.22475610673427582,0.08559636771678925,0.1688763052225113,0.2892046570777893,0.13837234675884247,0.0010000000474974513
0.1117866262793541,0.22079019248485565,0.08252351731061935,0.14886975288391113,0.2718372344970703,0.1206226646900177,0.0010000000474974513
0.10800046473741531,0.218590646982193,0.08082301914691925,0.14237616956233978,0.26449641585350037,0.11605697870254517,0.0010000000474974513
0.1073680967092514,0.21929052472114563,0.08133068680763245,0.1455041915178299,0.2684968113899231,0.12037912756204605,0.0010000000474974513
0.10326392948627472,0.21538062393665314,0.07849669456481934,0.1652388870716095,0.2947465777397156,0.14114129543304443,0.0010000000474974513
0.10066749900579453,0.21304889023303986,0.07704353332519531,0.13909876346588135,0.26478758454322815,0.11570025235414505,0.0010000000474974513
