model,rmse,mae,mape,r2
LSTM,3.8444106652099546,1.9289217403465684,2.563354385532702,0.9197965350941939
Random Forest,4.0117004257315605,1.8166395693747273,2.361525853274974,0.9126645478206178
XGBoost,4.03580148639316,1.9081055180647675,2.4785428640174,0.9116120266783012
